"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a skipped test","IGNORED","2019-11-21T13:41:45.442-06:00[America/Chicago]","0.0","0.69"
"First serenity test","This is atest with error","ERROR","2019-11-21T13:41:46.777-06:00[America/Chicago]","0.0","0.3"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2019-11-21T13:41:47.089-06:00[America/Chicago]","0.0","5.22"
"First serenity test","This is a pending test","PENDING","2019-11-21T13:41:52.311-06:00[America/Chicago]","0.0","0.41"
"First serenity test","This is a manual test","PENDING","2019-11-21T13:41:52.725-06:00[America/Chicago]","0.0","0.31"
"First serenity test","This isa failing","FAILURE","2019-11-21T13:41:53.037-06:00[America/Chicago]","0.0","0.76"
"First serenity test","File does not exist","COMPROMISED","2019-11-21T13:41:53.808-06:00[America/Chicago]","0.0","0.22"
"First serenity test","Get all students","SUCCESS","2019-11-21T13:41:54.028-06:00[America/Chicago]","0.0","0.3"
