"Story","Title","Result","Date","Stability","Duration (s)"
"Students CRUD test","This test will create a new student","SUCCESS","2019-11-21T13:41:45.511-06:00[America/Chicago]","0.0","6.47"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2019-11-21T13:41:52.944-06:00[America/Chicago]","0.0","1.15"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2019-11-21T13:41:54.09-06:00[America/Chicago]","0.0","0.59"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-11-21T13:41:54.684-06:00[America/Chicago]","0.0","0.53"
